"Year","NomCPUE","StdCPUE","SE","CV","LCI95","UCI95","CI_method","SclNomCPUE","sclStdCPUE","SclSE","SclSEmin","SclSEmax","SclLCI95","SclUCI95","mean_sclStdCPUE","Model"
2006,48.7544806172438,137330.119164692,25254.9128164474,0.183899300241345,87831.3996117559,186828.838717628,"normal",1.50251743491723,1.31271176039194,0.241406774154662,1.07130498623728,1.5541185345466,0.839563177424805,1.78586034335907,1,"BPM1"
2007,52.0089480440174,133196.109047826,13184.3400804212,0.0989844236041999,107355.277330273,159036.94076538,"normal",1.60281373565083,1.27319556590382,0.126026529226412,1.1471690366774,1.39922209513023,1.02618810752346,1.52020302428417,1,"BPM1"
2008,58.4141281457851,184904.286265537,23528.6316701603,0.127247627112177,138789.015586514,231019.55694456,"normal",1.80020881923803,1.76746392272886,0.224905590173628,1.54255833255523,1.99236951290248,1.32665706606682,2.20827077939089,1,"BPM1"
2009,28.0612706922157,86516.3075274088,10477.8281132056,0.121108128775447,65980.1417893245,107052.473265493,"normal",0.864793305706426,0.826992469297402,0.100155510467995,0.726836958829407,0.927147979765397,0.630691275926907,1.0232936626679,1,"BPM1"
2010,25.4757881160062,117244.057759026,13448.1144470944,0.114701885145724,90886.237782748,143601.877735303,"normal",0.785113805499513,1.12071302633745,0.128547896828275,0.992165129509177,1.24926092316573,0.868763778265662,1.37266227440924,1,"BPM1"
2011,24.0316408616498,81291.7112089086,10413.3011248694,0.128097944673703,60882.0160439941,101701.406373823,"normal",0.740608020579085,0.777051574522741,0.0995387096018277,0.677512864920913,0.876590284124568,0.581959288635567,0.972143860409914,1,"BPM1"
2012,56.2886516721156,150324.891555756,28676.4387132364,0.190763076004616,94120.1044729429,206529.67863857,"normal",1.73470580456607,1.43692624913719,0.274112471277185,1.16281377786,1.71103872041438,0.899675677720637,1.97417682055374,1,"BPM1"
2013,44.5009806987123,117541.500168226,15695.8020543027,0.133534130769462,86778.2934333233,148304.706903129,"normal",1.3714329129184,1.12355622017557,0.150033103231767,0.973523116943802,1.27358932340734,0.829496741352526,1.41761569899861,1,"BPM1"
2014,36.6902688047993,82518.8301303395,11444.7329706695,0.138692380303894,60087.5656951492,104950.09456553,"normal",1.13072209719147,0.788781364385007,0.10939796496591,0.679383399419097,0.898179329350917,0.574365293069849,1.00319743570016,1,"BPM1"
2015,26.5362822267674,59283.1594623692,10039.4764901556,0.169347865080104,39606.1471180277,78960.1718067108,"normal",0.817796153272946,0.566676131156019,0.0959653930031248,0.470710738152894,0.662641524159144,0.378587417107663,0.754764845204376,1,"BPM1"
2016,39.2602122631946,99580.2411689009,18728.1563261807,0.188071007926315,62873.7292727508,136286.753065051,"normal",1.20992271227555,0.951868056914133,0.179018784876704,0.772849272037429,1.13088684179084,0.60099768599967,1.3027384278286,1,"BPM1"
2017,21.1212329684232,86212.6855859425,15199.9384597327,0.176307446594741,56421.3536376412,116004.017534244,"normal",0.65091495961461,0.824090206518486,0.145293240075007,0.67879696644348,0.969383446593493,0.539320688774342,1.10885972426263,1,"BPM1"
2018,29.728707643843,122647.2571769,22154.306542614,0.18063434154634,79225.6142509169,166068.900102884,"normal",0.916180440995875,1.17236115322126,0.21176868496663,0.960592468254633,1.38412983818789,0.757302157633259,1.58742014880927,1,"BPM1"
2019,16.1872412695043,58069.1809320285,12884.471209845,0.221881400823039,32816.0814008891,83322.2804631679,"normal",0.498859016088867,0.555071947723174,0.12316014131839,0.431911806404783,0.678232089041564,0.313682506408265,0.796461389038082,1,"BPM1"
2020,9.84534085232922,59568.7976655495,16012.4964001381,0.26880677515166,28184.8814187016,90952.7139123974,"normal",0.303414088224243,0.569406490896568,0.153060322568329,0.416346168328238,0.722466813464897,0.269413771200559,0.869399210592576,1,"BPM1"
2021,18.0655266936431,78012.9637085653,18958.8732874177,0.243022087434632,40854.2548777681,115171.672539363,"normal",0.556744087610301,0.745710668177974,0.181224163202885,0.564486504975089,0.926934831380859,0.39051783517191,1.10090350118404,1,"BPM1"
2022,16.6542920783597,124222.981348138,34351.7619745951,0.27653306660161,56894.7650724388,191551.197623836,"normal",0.513252605650546,1.18742319251241,0.328361776779331,0.859061415733082,1.51578496929174,0.543845936125344,1.83100044889948,1,"BPM1"
2006,48.7544806172438,139337.856799097,24841.6703763616,0.178283712316455,90649.0775456123,188026.636052581,"normal",1.50251743491723,1.31993032390173,0.235322078144262,1.08460824575747,1.555252402046,0.85870752597186,1.78115312183161,1,"BPM2"
2007,52.0089480440174,134474.794653552,13000.5780252905,0.0966766899238174,108994.12994578,159955.459361324,"normal",1.60281373565083,1.27386313627319,0.123152871430865,1.15071026484233,1.39701600770406,1.03248794367601,1.51523832887038,1,"BPM2"
2008,58.4141281457851,185470.292396103,22746.6938484813,0.122643327697473,140887.591685721,230052.993106485,"normal",1.80020881923803,1.75693719381311,0.215476624004699,1.54146056980841,1.97241381781781,1.33461077125362,2.1792636163726,1,"BPM2"
2009,28.0612706922157,86591.162525528,10226.1503420077,0.118096928644339,66548.276154701,106634.048896355,"normal",0.864793305706426,0.820267397711897,0.0968710603368598,0.723396337375037,0.917138458048757,0.630403608307445,1.01013118711635,1,"BPM2"
2010,25.4757881160062,122349.126895611,14246.9021419265,0.116444657215103,94425.7118061681,150272.541985053,"normal",0.785113805499513,1.15899818184562,0.13495914599794,1.02403903584768,1.29395732784356,0.89448311630537,1.42351324738586,1,"BPM2"
